GB_Yield_Total,GK_Yield_Total,Rasio_GK_GB,GB_Kadar_Air_Mean,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Kemas_Pct_Teoritis,Total_Waste_Kg,Cetak_Durasi_Hari,Kemas_Durasi_Hari,Bulan_Produksi,Defect_Overall,Material_Description,Cluster,Cluster_Label,PCA1,PCA2
464.69,330.3,0.7107964449417892,4.656666666666666,775.0,0.96875,0.968204,0.0,0.0,2.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9179827365466938,0.13390094119827411
466.38,329.9,0.7073630944723187,4.586666666666667,776.0,0.97,0.964632,0.0,0.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.909528163488545,0.11789314464353678
465.9,329.9,0.708091865207126,4.59,776.0,0.97,0.967764,0.0,0.0,2.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9126319587886135,0.13250133906394573
460.7,329.9,0.716084219665726,4.68,773.0,0.96625,0.961564,0.0,0.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9291900251976127,0.1013412459479422
466.4,330.0,0.7075471698113208,4.5633333333333335,776.0,0.97,0.963716,0.0,3.0,3.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9423170141683767,0.13487571941986476
466.2,330.2,0.7082797082797083,4.6433333333333335,776.0,0.97,0.383,0.0,3.0,0.0,2.0,1,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-1.7828258619349395,-2.740916185934437
462.8,330.3,0.7136992221261884,4.63,773.0,0.96625,0.965876,0.0,0.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9212152400137488,0.1173789236209214
465.0,329.8,0.709247311827957,4.666666666666667,775.0,0.96875,0.96854,0.0,1.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9179171851858116,0.14604316875384477
464.37,329.8,0.7102095311927988,4.516666666666667,775.0,0.96875,0.967456,0.0,0.0,0.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8973379872093078,0.1307592430229621
469.58,330.2,0.7031815665062396,4.623333333333334,781.0,0.97625,0.97388,0.0,1.0,3.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8929327248106923,0.18774444515717859
458.3,330.1,0.7202705651320096,4.673333333333333,773.0,0.96625,0.96282,0.0,0.0,0.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.914779111426845,0.11365230201086557
463.6,330.0,0.7118205349439172,4.526666666666666,774.0,0.9675,0.96516,0.0,1.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9190162764873749,0.12298619940627914
465.67,330.0,0.7086563446217278,4.47,775.0,0.96875,0.968184,0.0,0.0,0.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8946601113921251,0.1306126357064346
465.52,330.0,0.7088846880907372,4.576666666666667,775.0,0.96875,0.957348,0.0,1.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9297350325089151,0.08688836252163973
462.95,329.9,0.7126039529106815,4.603333333333333,774.0,0.9675,0.9661,0.0,0.0,0.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9073931057486436,0.12427538155157303
467.5,330.2,0.7063101604278075,4.62,777.0,0.97125,0.969548,0.0,0.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8981662807292481,0.1459178564779927
456.6,330.4,0.7236092860271571,4.61,774.0,0.9675,0.966184,0.0,2.0,0.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9082135855065071,0.15378104941509002
461.1,330.1,0.7158967685968337,4.59,773.0,0.96625,0.965352,0.0,0.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.918625426349818,0.11680406305565838
465.5,330.3,0.7095596133190119,4.646666666666667,775.0,0.96875,0.968004,0.0,0.0,3.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9269876647857132,0.1292207469497575
462.77,330.3,0.7137454891198652,4.543333333333334,774.0,0.9675,0.963712,0.0,0.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9140971079456953,0.1090073390970614
467.51,330.4,0.7067228508481102,4.536666666666666,777.0,0.97125,0.970464,0.0,1.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8972543679792904,0.15672069701728608
458.8,330.2,0.7197035745422842,4.616666666666666,773.0,0.96625,0.965928,0.0,0.0,0.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9074975116759455,0.12653082207752425
471.74,330.2,0.699961843388307,4.536666666666666,781.0,0.97625,0.975296,0.0,1.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8726914021962957,0.1922010388583663
459.8,329.9,0.7174858634188777,4.653333333333333,773.0,0.96625,0.965944,0.0,0.0,0.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9119652284520438,0.12590352995862814
468.2,329.8,0.7043998291328493,4.626666666666666,778.0,0.9725,0.97068,0.0,0.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8935563124942133,0.15534876409448894
461.5,329.9,0.7148429035752979,4.576666666666667,773.0,0.96625,0.966144,0.0,0.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.920566964190926,0.20097993767628025
